CM059148.1	Trypanosoma cruzi	Trypanosoma cruzi isolate M05 mitochondrion, complete sequence, whole genome shotgun sequence
KU290919.1	Canis lupus familiaris	Canis lupus familiaris isolate 706H1 mitochondrion, complete genome
KU290918.1	Canis lupus familiaris	Canis lupus familiaris isolate 705T1 mitochondrion, complete genome
KU290917.1	Canis lupus familiaris	Canis lupus familiaris isolate 704T1 mitochondrion, complete genome
KU290916.1	Canis lupus familiaris	Canis lupus familiaris isolate 703T mitochondrion, complete genome
KU290915.1	Canis lupus familiaris	Canis lupus familiaris isolate 6T1 mitochondrion, complete genome
KU290914.1	Canis lupus familiaris	Canis lupus familiaris isolate 694T mitochondrion, complete genome
KU290913.1	Canis lupus familiaris	Canis lupus familiaris isolate 694H mitochondrion, complete genome
KU290912.1	Canis lupus familiaris	Canis lupus familiaris isolate 693T mitochondrion, complete genome
KU290911.1	Canis lupus familiaris	Canis lupus familiaris isolate 693H mitochondrion, complete genome
KU290910.1	Canis lupus familiaris	Canis lupus familiaris isolate 692H mitochondrion, complete genome
KU290909.1	Canis lupus familiaris	Canis lupus familiaris isolate 691T mitochondrion, complete genome
KU290908.1	Canis lupus familiaris	Canis lupus familiaris isolate 691H mitochondrion, complete genome
KU290907.1	Canis lupus familiaris	Canis lupus familiaris isolate 687T mitochondrion, complete genome
KU290906.1	Canis lupus familiaris	Canis lupus familiaris isolate 687H mitochondrion, complete genome
KU290905.1	Canis lupus familiaris	Canis lupus familiaris isolate 686T mitochondrion, complete genome
KU290904.1	Canis lupus familiaris	Canis lupus familiaris isolate 685T mitochondrion, complete genome
KU290903.1	Canis lupus familiaris	Canis lupus familiaris isolate 684T mitochondrion, complete genome
KU290902.1	Canis lupus familiaris	Canis lupus familiaris isolate 684H mitochondrion, complete genome
KU290901.1	Canis lupus familiaris	Canis lupus familiaris isolate 683T mitochondrion, complete genome
KU290900.1	Canis lupus familiaris	Canis lupus familiaris isolate 683H mitochondrion, complete genome
KU290899.1	Canis lupus familiaris	Canis lupus familiaris isolate 682T mitochondrion, complete genome
KU290898.1	Canis lupus familiaris	Canis lupus familiaris isolate 682H mitochondrion, complete genome
KU290897.1	Canis lupus familiaris	Canis lupus familiaris isolate 681T mitochondrion, complete genome
KU290896.1	Canis lupus familiaris	Canis lupus familiaris isolate 681H mitochondrion, complete genome
KU290895.1	Canis lupus familiaris	Canis lupus familiaris isolate 680T mitochondrion, complete genome
KU290894.1	Canis lupus familiaris	Canis lupus familiaris isolate 680H mitochondrion, complete genome
KU290893.1	Canis lupus familiaris	Canis lupus familiaris isolate 667T mitochondrion, complete genome
KU290892.1	Canis lupus familiaris	Canis lupus familiaris isolate 667H mitochondrion, complete genome
KU290891.1	Canis lupus familiaris	Canis lupus familiaris isolate 666T mitochondrion, complete genome
KU290890.1	Canis lupus familiaris	Canis lupus familiaris isolate 666H mitochondrion, complete genome
KU290889.1	Canis lupus familiaris	Canis lupus familiaris isolate 661T mitochondrion, complete genome
KU290888.1	Canis lupus familiaris	Canis lupus familiaris isolate 660T mitochondrion, complete genome
KU290887.1	Canis lupus familiaris	Canis lupus familiaris isolate 660H mitochondrion, complete genome
KU290886.1	Canis lupus familiaris	Canis lupus familiaris isolate 656T mitochondrion, complete genome
KU290885.1	Canis lupus familiaris	Canis lupus familiaris isolate 656H mitochondrion, complete genome
KU290884.1	Canis lupus familiaris	Canis lupus familiaris isolate 655H mitochondrion, complete genome
KU290883.1	Canis lupus familiaris	Canis lupus familiaris isolate 653T mitochondrion, complete genome
KU290882.1	Canis lupus familiaris	Canis lupus familiaris isolate 652T mitochondrion, complete genome
KU290881.1	Canis lupus familiaris	Canis lupus familiaris isolate 650T mitochondrion, complete genome
KU290880.1	Canis lupus familiaris	Canis lupus familiaris isolate 650H mitochondrion, complete genome
KU290879.1	Canis lupus familiaris	Canis lupus familiaris isolate 649T mitochondrion, complete genome
KU290878.1	Canis lupus familiaris	Canis lupus familiaris isolate 647T mitochondrion, complete genome
KU290877.1	Canis lupus familiaris	Canis lupus familiaris isolate 647H mitochondrion, complete genome
KU290876.1	Canis lupus familiaris	Canis lupus familiaris isolate 646H mitochondrion, complete genome
KU290875.1	Canis lupus familiaris	Canis lupus familiaris isolate 645T mitochondrion, complete genome
KU290874.1	Canis lupus familiaris	Canis lupus familiaris isolate 645H mitochondrion, complete genome
KU290873.1	Canis lupus familiaris	Canis lupus familiaris isolate 644T mitochondrion, complete genome
KU290872.1	Canis lupus familiaris	Canis lupus familiaris isolate 644H mitochondrion, complete genome
KU290871.1	Canis lupus familiaris	Canis lupus familiaris isolate 642T1 mitochondrion, complete genome
KU290870.1	Canis lupus familiaris	Canis lupus familiaris isolate 640T mitochondrion, complete genome
KU290869.1	Canis lupus familiaris	Canis lupus familiaris isolate 639T1 mitochondrion, complete genome
KU290868.1	Canis lupus familiaris	Canis lupus familiaris isolate 639H mitochondrion, complete genome
KU290867.1	Canis lupus familiaris	Canis lupus familiaris isolate 638T mitochondrion, complete genome
KU290866.1	Canis lupus familiaris	Canis lupus familiaris isolate 636T mitochondrion, complete genome
KU290865.1	Canis lupus familiaris	Canis lupus familiaris isolate 635T mitochondrion, complete genome
KU290864.1	Canis lupus familiaris	Canis lupus familiaris isolate 635H mitochondrion, complete genome
KU290863.1	Canis lupus familiaris	Canis lupus familiaris isolate 634T mitochondrion, complete genome
KU290862.1	Canis lupus familiaris	Canis lupus familiaris isolate 631T mitochondrion, complete genome
KU290861.1	Canis lupus familiaris	Canis lupus familiaris isolate 630T mitochondrion, complete genome
KU290860.1	Canis lupus familiaris	Canis lupus familiaris isolate 62T mitochondrion, complete genome
KU290859.1	Canis lupus familiaris	Canis lupus familiaris isolate 629T mitochondrion, complete genome
KU290858.1	Canis lupus familiaris	Canis lupus familiaris isolate 628T1 mitochondrion, complete genome
KU290857.1	Canis lupus familiaris	Canis lupus familiaris isolate 627T1 mitochondrion, complete genome
KU290856.1	Canis lupus familiaris	Canis lupus familiaris isolate 625T mitochondrion, complete genome
KU290855.1	Canis lupus familiaris	Canis lupus familiaris isolate 625H mitochondrion, complete genome
KU290854.1	Canis lupus familiaris	Canis lupus familiaris isolate 624T mitochondrion, complete genome
KU290853.1	Canis lupus familiaris	Canis lupus familiaris isolate 624H mitochondrion, complete genome
KU290852.1	Canis lupus familiaris	Canis lupus familiaris isolate 623T mitochondrion, complete genome
KU290851.1	Canis lupus familiaris	Canis lupus familiaris isolate 622T mitochondrion, complete genome
KU290850.1	Canis lupus familiaris	Canis lupus familiaris isolate 621T mitochondrion, complete genome
KU290849.1	Canis lupus familiaris	Canis lupus familiaris isolate 61T mitochondrion, complete genome
KU290848.1	Canis lupus familiaris	Canis lupus familiaris isolate 618T mitochondrion, complete genome
KU290847.1	Canis lupus familiaris	Canis lupus familiaris isolate 616T mitochondrion, complete genome
KU290846.1	Canis lupus familiaris	Canis lupus familiaris isolate 615T mitochondrion, complete genome
KU290845.1	Canis lupus familiaris	Canis lupus familiaris isolate 614T mitochondrion, complete genome
KU290844.1	Canis lupus familiaris	Canis lupus familiaris isolate 613T mitochondrion, complete genome
KU290843.1	Canis lupus familiaris	Canis lupus familiaris isolate 612T mitochondrion, complete genome
KU290842.1	Canis lupus familiaris	Canis lupus familiaris isolate 611T mitochondrion, complete genome
KU290841.1	Canis lupus familiaris	Canis lupus familiaris isolate 610T mitochondrion, complete genome
KU290840.1	Canis lupus familiaris	Canis lupus familiaris isolate 60T mitochondrion, complete genome
KU290839.1	Canis lupus familiaris	Canis lupus familiaris isolate 609T mitochondrion, complete genome
KU290838.1	Canis lupus familiaris	Canis lupus familiaris isolate 609H mitochondrion, complete genome
KU290837.1	Canis lupus familiaris	Canis lupus familiaris isolate 608T mitochondrion, complete genome
KU290836.1	Canis lupus familiaris	Canis lupus familiaris isolate 608H mitochondrion, complete genome
KU290835.1	Canis lupus familiaris	Canis lupus familiaris isolate 607T mitochondrion, complete genome
KU290834.1	Canis lupus familiaris	Canis lupus familiaris isolate 606T mitochondrion, complete genome
KU290833.1	Canis lupus familiaris	Canis lupus familiaris isolate 605T mitochondrion, complete genome
KU290832.1	Canis lupus familiaris	Canis lupus familiaris isolate 604T mitochondrion, complete genome
KU290831.1	Canis lupus familiaris	Canis lupus familiaris isolate 602T mitochondrion, complete genome
KU290830.1	Canis lupus familiaris	Canis lupus familiaris isolate 602H mitochondrion, complete genome
KU290829.1	Canis lupus familiaris	Canis lupus familiaris isolate 601T mitochondrion, complete genome
KU290828.1	Canis lupus familiaris	Canis lupus familiaris isolate 600T mitochondrion, complete genome
KU290827.1	Canis lupus familiaris	Canis lupus familiaris isolate 5T1 mitochondrion, complete genome
KU290826.1	Canis lupus familiaris	Canis lupus familiaris isolate 59T mitochondrion, complete genome
KU290825.1	Canis lupus familiaris	Canis lupus familiaris isolate 599T mitochondrion, complete genome
KU290824.1	Canis lupus familiaris	Canis lupus familiaris isolate 598T mitochondrion, complete genome
KU290823.1	Canis lupus familiaris	Canis lupus familiaris isolate 597T mitochondrion, complete genome
KU290822.1	Canis lupus familiaris	Canis lupus familiaris isolate 596T mitochondrion, complete genome
KU290821.1	Canis lupus familiaris	Canis lupus familiaris isolate 595T1 mitochondrion, complete genome
KU290820.1	Canis lupus familiaris	Canis lupus familiaris isolate 594T mitochondrion, complete genome
KU290819.1	Canis lupus familiaris	Canis lupus familiaris isolate 592T mitochondrion, complete genome
KU290818.1	Canis lupus familiaris	Canis lupus familiaris isolate 591T mitochondrion, complete genome
KU290817.1	Canis lupus familiaris	Canis lupus familiaris isolate 590T mitochondrion, complete genome
KU290816.1	Canis lupus familiaris	Canis lupus familiaris isolate 589T mitochondrion, complete genome
KU290815.1	Canis lupus familiaris	Canis lupus familiaris isolate 588T mitochondrion, complete genome
KU290814.1	Canis lupus familiaris	Canis lupus familiaris isolate 587T mitochondrion, complete genome
KU290813.1	Canis lupus familiaris	Canis lupus familiaris isolate 586T mitochondrion, complete genome
KU290812.1	Canis lupus familiaris	Canis lupus familiaris isolate 585T mitochondrion, complete genome
KU290811.1	Canis lupus familiaris	Canis lupus familiaris isolate 584T mitochondrion, complete genome
KU290810.1	Canis lupus familiaris	Canis lupus familiaris isolate 583T mitochondrion, complete genome
KU290809.1	Canis lupus familiaris	Canis lupus familiaris isolate 582T mitochondrion, complete genome
KU290808.1	Canis lupus familiaris	Canis lupus familiaris isolate 582H mitochondrion, complete genome
KU290807.1	Canis lupus familiaris	Canis lupus familiaris isolate 57T mitochondrion, complete genome
KU290806.1	Canis lupus familiaris	Canis lupus familiaris isolate 575T mitochondrion, complete genome
KU290805.1	Canis lupus familiaris	Canis lupus familiaris isolate 575H mitochondrion, complete genome
KU290804.1	Canis lupus familiaris	Canis lupus familiaris isolate 572T mitochondrion, complete genome
KU290803.1	Canis lupus familiaris	Canis lupus familiaris isolate 572H mitochondrion, complete genome
KU290802.1	Canis lupus familiaris	Canis lupus familiaris isolate 571T mitochondrion, complete genome
KU290801.1	Canis lupus familiaris	Canis lupus familiaris isolate 571H mitochondrion, complete genome
KU290800.1	Canis lupus familiaris	Canis lupus familiaris isolate 56T mitochondrion, complete genome
KU290799.1	Canis lupus familiaris	Canis lupus familiaris isolate 564T mitochondrion, complete genome
KU290798.1	Canis lupus familiaris	Canis lupus familiaris isolate 560T mitochondrion, complete genome
KU290797.1	Canis lupus familiaris	Canis lupus familiaris isolate 560H mitochondrion, complete genome
KU290796.1	Canis lupus familiaris	Canis lupus familiaris isolate 55T mitochondrion, complete genome
KU290795.1	Canis lupus familiaris	Canis lupus familiaris isolate 559T mitochondrion, complete genome
KU290794.1	Canis lupus familiaris	Canis lupus familiaris isolate 559H mitochondrion, complete genome
KU290793.1	Canis lupus familiaris	Canis lupus familiaris isolate 558T mitochondrion, complete genome
KU290792.1	Canis lupus familiaris	Canis lupus familiaris isolate 558H mitochondrion, complete genome
KU290791.1	Canis lupus familiaris	Canis lupus familiaris isolate 556T mitochondrion, complete genome
KU290790.1	Canis lupus familiaris	Canis lupus familiaris isolate 556H mitochondrion, complete genome
KU290789.1	Canis lupus familiaris	Canis lupus familiaris isolate 555T mitochondrion, complete genome
KU290788.1	Canis lupus familiaris	Canis lupus familiaris isolate 555H mitochondrion, complete genome
KU290787.1	Canis lupus familiaris	Canis lupus familiaris isolate 551T mitochondrion, complete genome
KU290786.1	Canis lupus familiaris	Canis lupus familiaris isolate 551H mitochondrion, complete genome
KU290785.1	Canis lupus familiaris	Canis lupus familiaris isolate 550T mitochondrion, complete genome
KU290784.1	Canis lupus familiaris	Canis lupus familiaris isolate 550H mitochondrion, complete genome
KU290783.1	Canis lupus familiaris	Canis lupus familiaris isolate 54T mitochondrion, complete genome
KU290782.1	Canis lupus familiaris	Canis lupus familiaris isolate 540T mitochondrion, complete genome
KU290781.1	Canis lupus familiaris	Canis lupus familiaris isolate 540H mitochondrion, complete genome
KU290780.1	Canis lupus familiaris	Canis lupus familiaris isolate 53T mitochondrion, complete genome
KU290779.1	Canis lupus familiaris	Canis lupus familiaris isolate 539H mitochondrion, complete genome
KU290778.1	Canis lupus familiaris	Canis lupus familiaris isolate 535T mitochondrion, complete genome
KU290777.1	Canis lupus familiaris	Canis lupus familiaris isolate 535H mitochondrion, complete genome
KU290776.1	Canis lupus familiaris	Canis lupus familiaris isolate 534T mitochondrion, complete genome
KU290775.1	Canis lupus familiaris	Canis lupus familiaris isolate 534H mitochondrion, complete genome
KU290774.1	Canis lupus familiaris	Canis lupus familiaris isolate 532T mitochondrion, complete genome
KU290773.1	Canis lupus familiaris	Canis lupus familiaris isolate 531T mitochondrion, complete genome
KU290772.1	Canis lupus familiaris	Canis lupus familiaris isolate 530T1 mitochondrion, complete genome
KU290771.1	Canis lupus familiaris	Canis lupus familiaris isolate 530H1 mitochondrion, complete genome
KU290770.1	Canis lupus familiaris	Canis lupus familiaris isolate 52T1 mitochondrion, complete genome
KU290769.1	Canis lupus familiaris	Canis lupus familiaris isolate 52H mitochondrion, complete genome
KU290768.1	Canis lupus familiaris	Canis lupus familiaris isolate 527T mitochondrion, complete genome
KU290767.1	Canis lupus familiaris	Canis lupus familiaris isolate 527H mitochondrion, complete genome
KU290766.1	Canis lupus familiaris	Canis lupus familiaris isolate 525T mitochondrion, complete genome
KU290765.1	Canis lupus familiaris	Canis lupus familiaris isolate 523T mitochondrion, complete genome
KU290764.1	Canis lupus familiaris	Canis lupus familiaris isolate 523H mitochondrion, complete genome
KU290763.1	Canis lupus familiaris	Canis lupus familiaris isolate 516T mitochondrion, complete genome
KU290762.1	Canis lupus familiaris	Canis lupus familiaris isolate 516H1 mitochondrion, complete genome
KU290761.1	Canis lupus familiaris	Canis lupus familiaris isolate 515T mitochondrion, complete genome
KU290760.1	Canis lupus familiaris	Canis lupus familiaris isolate 515H mitochondrion, complete genome
KU290759.1	Canis lupus familiaris	Canis lupus familiaris isolate 514T mitochondrion, complete genome
KU290758.1	Canis lupus familiaris	Canis lupus familiaris isolate 514H mitochondrion, complete genome
KU290757.1	Canis lupus familiaris	Canis lupus familiaris isolate 513T mitochondrion, complete genome
KU290756.1	Canis lupus familiaris	Canis lupus familiaris isolate 513H mitochondrion, complete genome
KU290755.1	Canis lupus familiaris	Canis lupus familiaris isolate 512T mitochondrion, complete genome
KU290754.1	Canis lupus familiaris	Canis lupus familiaris isolate 511T mitochondrion, complete genome
KU290753.1	Canis lupus familiaris	Canis lupus familiaris isolate 511H mitochondrion, complete genome
KU290752.1	Canis lupus familiaris	Canis lupus familiaris isolate 50T1 mitochondrion, complete genome
KU290751.1	Canis lupus familiaris	Canis lupus familiaris isolate 509T mitochondrion, complete genome
KU290750.1	Canis lupus familiaris	Canis lupus familiaris isolate 509H mitochondrion, complete genome
KU290749.1	Canis lupus familiaris	Canis lupus familiaris isolate 508T mitochondrion, complete genome
KU290748.1	Canis lupus familiaris	Canis lupus familiaris isolate 507T mitochondrion, complete genome
KU290747.1	Canis lupus familiaris	Canis lupus familiaris isolate 507H mitochondrion, complete genome
KU290746.1	Canis lupus familiaris	Canis lupus familiaris isolate 506T1 mitochondrion, complete genome
KU290745.1	Canis lupus familiaris	Canis lupus familiaris isolate 506H mitochondrion, complete genome
KU290744.1	Canis lupus familiaris	Canis lupus familiaris isolate 505T mitochondrion, complete genome
KU290743.1	Canis lupus familiaris	Canis lupus familiaris isolate 505H mitochondrion, complete genome
KU290742.1	Canis lupus familiaris	Canis lupus familiaris isolate 504T mitochondrion, complete genome
KU290741.1	Canis lupus familiaris	Canis lupus familiaris isolate 504H mitochondrion, complete genome
KU290740.1	Canis lupus familiaris	Canis lupus familiaris isolate 502T1 mitochondrion, complete genome
KU290739.1	Canis lupus familiaris	Canis lupus familiaris isolate 502H mitochondrion, complete genome
KU290738.1	Canis lupus familiaris	Canis lupus familiaris isolate 501T mitochondrion, complete genome
KU290737.1	Canis lupus familiaris	Canis lupus familiaris isolate 501H mitochondrion, complete genome
KU290736.1	Canis lupus familiaris	Canis lupus familiaris isolate 500T mitochondrion, complete genome
KU290735.1	Canis lupus familiaris	Canis lupus familiaris isolate 500H mitochondrion, complete genome
KU290734.1	Canis lupus familiaris	Canis lupus familiaris isolate 4T mitochondrion, complete genome
KU290733.1	Canis lupus familiaris	Canis lupus familiaris isolate 4H mitochondrion, complete genome
KU290732.1	Canis lupus familiaris	Canis lupus familiaris isolate 49T mitochondrion, complete genome
KU290731.1	Canis lupus familiaris	Canis lupus familiaris isolate 499T mitochondrion, complete genome
KU290730.1	Canis lupus familiaris	Canis lupus familiaris isolate 499H mitochondrion, complete genome
KU290729.1	Canis lupus familiaris	Canis lupus familiaris isolate 498T mitochondrion, complete genome
KU290728.1	Canis lupus familiaris	Canis lupus familiaris isolate 498H mitochondrion, complete genome
KU290727.1	Canis lupus familiaris	Canis lupus familiaris isolate 497T mitochondrion, complete genome
KU290726.1	Canis lupus familiaris	Canis lupus familiaris isolate 497H mitochondrion, complete genome
KU290725.1	Canis lupus familiaris	Canis lupus familiaris isolate 495T mitochondrion, complete genome
KU290724.1	Canis lupus familiaris	Canis lupus familiaris isolate 494T mitochondrion, complete genome
KU290723.1	Canis lupus familiaris	Canis lupus familiaris isolate 494H mitochondrion, complete genome
KU290722.1	Canis lupus familiaris	Canis lupus familiaris isolate 493T1 mitochondrion, complete genome
KU290721.1	Canis lupus familiaris	Canis lupus familiaris isolate 492T1 mitochondrion, complete genome
KU290720.1	Canis lupus familiaris	Canis lupus familiaris isolate 492H2 mitochondrion, complete genome
KU290719.1	Canis lupus familiaris	Canis lupus familiaris isolate 491T1 mitochondrion, complete genome
KU290718.1	Canis lupus familiaris	Canis lupus familiaris isolate 491H mitochondrion, complete genome
KU290717.1	Canis lupus familiaris	Canis lupus familiaris isolate 490T mitochondrion, complete genome
KU290716.1	Canis lupus familiaris	Canis lupus familiaris isolate 490H mitochondrion, complete genome
KU290715.1	Canis lupus familiaris	Canis lupus familiaris isolate 48T1 mitochondrion, complete genome
KU290714.1	Canis lupus familiaris	Canis lupus familiaris isolate 48H mitochondrion, complete genome
KU290713.1	Canis lupus familiaris	Canis lupus familiaris isolate 47T mitochondrion, complete genome
KU290712.1	Canis lupus familiaris	Canis lupus familiaris isolate 47H mitochondrion, complete genome
KU290711.1	Canis lupus familiaris	Canis lupus familiaris isolate 472T mitochondrion, complete genome
KU290710.1	Canis lupus familiaris	Canis lupus familiaris isolate 469T mitochondrion, complete genome
KU290709.1	Canis lupus familiaris	Canis lupus familiaris isolate 469H mitochondrion, complete genome
KU290708.1	Canis lupus familiaris	Canis lupus familiaris isolate 468T mitochondrion, complete genome
KU290707.1	Canis lupus familiaris	Canis lupus familiaris isolate 468H mitochondrion, complete genome
KU290706.1	Canis lupus familiaris	Canis lupus familiaris isolate 467T mitochondrion, complete genome
KU290705.1	Canis lupus familiaris	Canis lupus familiaris isolate 466T mitochondrion, complete genome
KU290704.1	Canis lupus familiaris	Canis lupus familiaris isolate 465T mitochondrion, complete genome
KU290703.1	Canis lupus familiaris	Canis lupus familiaris isolate 464T mitochondrion, complete genome
KU290702.1	Canis lupus familiaris	Canis lupus familiaris isolate 464H mitochondrion, complete genome
KU290701.1	Canis lupus familiaris	Canis lupus familiaris isolate 463T mitochondrion, complete genome
KU290700.1	Canis lupus familiaris	Canis lupus familiaris isolate 462T mitochondrion, complete genome
KU290699.1	Canis lupus familiaris	Canis lupus familiaris isolate 462H1 mitochondrion, complete genome
KU290698.1	Canis lupus familiaris	Canis lupus familiaris isolate 460T mitochondrion, complete genome
KU290697.1	Canis lupus familiaris	Canis lupus familiaris isolate 45T1 mitochondrion, complete genome
KU290696.1	Canis lupus familiaris	Canis lupus familiaris isolate 45H1 mitochondrion, complete genome
KU290695.1	Canis lupus familiaris	Canis lupus familiaris isolate 459T mitochondrion, complete genome
KU290694.1	Canis lupus familiaris	Canis lupus familiaris isolate 459H mitochondrion, complete genome
KU290693.1	Canis lupus familiaris	Canis lupus familiaris isolate 457T mitochondrion, complete genome
KU290692.1	Canis lupus familiaris	Canis lupus familiaris isolate 456T mitochondrion, complete genome
KU290691.1	Canis lupus familiaris	Canis lupus familiaris isolate 455T1 mitochondrion, complete genome
KU290690.1	Canis lupus familiaris	Canis lupus familiaris isolate 454T mitochondrion, complete genome
KU290689.1	Canis lupus familiaris	Canis lupus familiaris isolate 453T mitochondrion, complete genome
KU290688.1	Canis lupus familiaris	Canis lupus familiaris isolate 452T mitochondrion, complete genome
KU290687.1	Canis lupus familiaris	Canis lupus familiaris isolate 451T mitochondrion, complete genome
KU290686.1	Canis lupus familiaris	Canis lupus familiaris isolate 450T mitochondrion, complete genome
KU290685.1	Canis lupus familiaris	Canis lupus familiaris isolate 44T mitochondrion, complete genome
KU290684.1	Canis lupus familiaris	Canis lupus familiaris isolate 44H mitochondrion, complete genome
KU290683.1	Canis lupus familiaris	Canis lupus familiaris isolate 449T mitochondrion, complete genome
KU290682.1	Canis lupus familiaris	Canis lupus familiaris isolate 448T mitochondrion, complete genome
KU290681.1	Canis lupus familiaris	Canis lupus familiaris isolate 447T mitochondrion, complete genome
KU290680.1	Canis lupus familiaris	Canis lupus familiaris isolate 446T mitochondrion, complete genome
KU290679.1	Canis lupus familiaris	Canis lupus familiaris isolate 443T mitochondrion, complete genome
KU290678.1	Canis lupus familiaris	Canis lupus familiaris isolate 443H mitochondrion, complete genome
KU290677.1	Canis lupus familiaris	Canis lupus familiaris isolate 442T mitochondrion, complete genome
KU290676.1	Canis lupus familiaris	Canis lupus familiaris isolate 441T mitochondrion, complete genome
KU290675.1	Canis lupus familiaris	Canis lupus familiaris isolate 441H mitochondrion, complete genome
KU290674.1	Canis lupus familiaris	Canis lupus familiaris isolate 440T mitochondrion, complete genome
KU290673.1	Canis lupus familiaris	Canis lupus familiaris isolate 43T mitochondrion, complete genome
KU290672.1	Canis lupus familiaris	Canis lupus familiaris isolate 43H mitochondrion, complete genome
KU290671.1	Canis lupus familiaris	Canis lupus familiaris isolate 439T mitochondrion, complete genome
KU290670.1	Canis lupus familiaris	Canis lupus familiaris isolate 439H mitochondrion, complete genome
KU290669.1	Canis lupus familiaris	Canis lupus familiaris isolate 438T mitochondrion, complete genome
KU290668.1	Canis lupus familiaris	Canis lupus familiaris isolate 437T mitochondrion, complete genome
KU290667.1	Canis lupus familiaris	Canis lupus familiaris isolate 437H mitochondrion, complete genome
KU290666.1	Canis lupus familiaris	Canis lupus familiaris isolate 436T mitochondrion, complete genome
KU290665.1	Canis lupus familiaris	Canis lupus familiaris isolate 435T mitochondrion, complete genome
KU290664.1	Canis lupus familiaris	Canis lupus familiaris isolate 434T mitochondrion, complete genome
KU290663.1	Canis lupus familiaris	Canis lupus familiaris isolate 433T mitochondrion, complete genome
KU290662.1	Canis lupus familiaris	Canis lupus familiaris isolate 432T mitochondrion, complete genome
KU290661.1	Canis lupus familiaris	Canis lupus familiaris isolate 431T1 mitochondrion, complete genome
KU290660.1	Canis lupus familiaris	Canis lupus familiaris isolate 430T mitochondrion, complete genome
KU290659.1	Canis lupus familiaris	Canis lupus familiaris isolate 429T mitochondrion, complete genome
KU290658.1	Canis lupus familiaris	Canis lupus familiaris isolate 428T mitochondrion, complete genome
KU290657.1	Canis lupus familiaris	Canis lupus familiaris isolate 427T mitochondrion, complete genome
KU290656.1	Canis lupus familiaris	Canis lupus familiaris isolate 426T1 mitochondrion, complete genome
KU290655.1	Canis lupus familiaris	Canis lupus familiaris isolate 425T mitochondrion, complete genome
KU290654.1	Canis lupus familiaris	Canis lupus familiaris isolate 425H1 mitochondrion, complete genome
KU290653.1	Canis lupus familiaris	Canis lupus familiaris isolate 424T mitochondrion, complete genome
KU290652.1	Canis lupus familiaris	Canis lupus familiaris isolate 423T mitochondrion, complete genome
KU290651.1	Canis lupus familiaris	Canis lupus familiaris isolate 423H mitochondrion, complete genome
KU290650.1	Canis lupus familiaris	Canis lupus familiaris isolate 422T mitochondrion, complete genome
KU290649.1	Canis lupus familiaris	Canis lupus familiaris isolate 422H mitochondrion, complete genome
KU290648.1	Canis lupus familiaris	Canis lupus familiaris isolate 421T mitochondrion, complete genome
KU290647.1	Canis lupus familiaris	Canis lupus familiaris isolate 421H mitochondrion, complete genome
KU290646.1	Canis lupus familiaris	Canis lupus familiaris isolate 420T mitochondrion, complete genome
KU290645.1	Canis lupus familiaris	Canis lupus familiaris isolate 41T mitochondrion, complete genome
KU290644.1	Canis lupus familiaris	Canis lupus familiaris isolate 41H mitochondrion, complete genome
KU290643.1	Canis lupus familiaris	Canis lupus familiaris isolate 419T mitochondrion, complete genome
KU290642.1	Canis lupus familiaris	Canis lupus familiaris isolate 416T mitochondrion, complete genome
KU290641.1	Canis lupus familiaris	Canis lupus familiaris isolate 415T mitochondrion, complete genome
KU290640.1	Canis lupus familiaris	Canis lupus familiaris isolate 415H mitochondrion, complete genome
KU290639.1	Canis lupus familiaris	Canis lupus familiaris isolate 414T mitochondrion, complete genome
KU290638.1	Canis lupus familiaris	Canis lupus familiaris isolate 413H mitochondrion, complete genome
KU290637.1	Canis lupus familiaris	Canis lupus familiaris isolate 412T mitochondrion, complete genome
KU290636.1	Canis lupus familiaris	Canis lupus familiaris isolate 412H mitochondrion, complete genome
KU290635.1	Canis lupus familiaris	Canis lupus familiaris isolate 411T mitochondrion, complete genome
KU290634.1	Canis lupus familiaris	Canis lupus familiaris isolate 411H mitochondrion, complete genome
KU290633.1	Canis lupus familiaris	Canis lupus familiaris isolate 410T mitochondrion, complete genome
KU290632.1	Canis lupus familiaris	Canis lupus familiaris isolate 410H mitochondrion, complete genome
KU290631.1	Canis lupus familiaris	Canis lupus familiaris isolate 40T mitochondrion, complete genome
KU290630.1	Canis lupus familiaris	Canis lupus familiaris isolate 40H mitochondrion, complete genome
KU290629.1	Canis lupus familiaris	Canis lupus familiaris isolate 409T mitochondrion, complete genome
KU290628.1	Canis lupus familiaris	Canis lupus familiaris isolate 409H mitochondrion, complete genome
KU290627.1	Canis lupus familiaris	Canis lupus familiaris isolate 408T mitochondrion, complete genome
KU290626.1	Canis lupus familiaris	Canis lupus familiaris isolate 407T mitochondrion, complete genome
KU290625.1	Canis lupus familiaris	Canis lupus familiaris isolate 407H mitochondrion, complete genome
KU290624.1	Canis lupus familiaris	Canis lupus familiaris isolate 406T mitochondrion, complete genome
KU290623.1	Canis lupus familiaris	Canis lupus familiaris isolate 405T mitochondrion, complete genome
KU290622.1	Canis lupus familiaris	Canis lupus familiaris isolate 404T mitochondrion, complete genome
KU290621.1	Canis lupus familiaris	Canis lupus familiaris isolate 404H mitochondrion, complete genome
KU290620.1	Canis lupus familiaris	Canis lupus familiaris isolate 402T mitochondrion, complete genome
KU290619.1	Canis lupus familiaris	Canis lupus familiaris isolate 402H mitochondrion, complete genome
